Raw Characteristics,Parse Success,Listing ID,Price per unit,Floor,Condition,Location,Available from,Usable area,Layout,EPC,Plot space,Plot type,Age,Total floors
"{""Listing ID"": ""902150"", ""Location"": ""Centre"", ""Available from"": ""01/06/2025"", ""Floor"": ""Ground floor"", ""Price per unit"": ""CZK 518/ m2"", ""Plocha kanceláře"": ""17m²"", ""Fully furnished"": ""Partly"", ""Condition"": ""New-build"", ""Building construction"": ""Skeleton"", """": ""MHD 2 minutes on foot""}",True,902150.0,CZK 518/ m2,Ground floor,New-build,Centre,01/06/2025,,,,,,,
"{""Listing ID"": ""879822"", ""Layout"": ""2+kk"", ""Fully furnished"": ""Partly"", ""Condition"": ""Very good"", ""Ownership"": ""Personal"", ""EPC"": ""C - Economical"", ""Užitná plocha"": ""42m²"", ""Location"": ""The quiet part"", ""Available from"": ""03/02/2025"", ""Floor"": ""3. podlaží z 6"", ""Building construction"": ""Brick"", ""Price per unit"": ""CZK 156,905/ m2"", """": ""Wheelchair accessible""}",True,879822.0,"CZK 156,905/ m2",3. podlaží z 6,Very good,The quiet part,03/02/2025,42m²,2+kk,C - Economical,,,,
"{""Listing ID"": ""886611"", ""Available from"": ""01/04/2025"", ""Ownership"": ""Personal"", ""Price per unit"": ""CZK 311/ m2"", ""Location"": ""The quiet part"", ""Plot space"": ""2,119m²"", ""Plot type"": ""Garden"", """": ""MHD 4 minutes on foot""}",True,886611.0,CZK 311/ m2,,,The quiet part,01/04/2025,,,,"2,119m²",Garden,,
"{""Listing ID"": ""902244"", ""Layout"": ""2 bedroom"", ""Available from"": ""01/06/2025"", ""Floor"": ""5. podlaží z 5"", ""Price per unit"": ""CZK 183/ m2"", ""Užitná plocha"": ""54m²"", ""Location"": ""The quiet part"", ""Condition"": ""Very good"", ""Building construction"": ""Prefab concrete"", """": ""Parking""}",True,902244.0,CZK 183/ m2,5. podlaží z 5,Very good,The quiet part,01/06/2025,54m²,2 bedroom,,,,,
"{""Listing ID"": ""837273"", ""Location"": ""The quiet part"", ""Available from"": ""01/07/2025"", ""Price per unit"": ""CZK 778/ m2"", ""Užitná plocha"": ""60m²"", ""Fully furnished"": ""Fully furnished"", ""Floor"": ""1. podlaží"", """": ""Garage""}",True,837273.0,CZK 778/ m2,1. podlaží,,The quiet part,01/07/2025,60m²,,,,,,
"{""Listing ID"": ""875181"", ""Plot space"": ""7,290m²"", ""Plot type"": ""Field"", ""Location"": ""Polosamota"", ""Condition"": ""Very good"", ""Price per unit"": ""CZK 47/ m2"", """": ""MHD 5 minutes by car""}",True,875181.0,CZK 47/ m2,,Very good,Polosamota,,,,,"7,290m²",Field,,
"{""Listing ID"": ""880500"", ""Layout"": ""3+1"", ""Fully furnished"": ""Partly"", ""Condition"": ""Very good"", ""Ownership"": ""Personal"", ""EPC"": ""G - Extremely uneconomical"", ""Sewage"": ""Public sewage"", ""Užitná plocha"": ""73m²"", ""Location"": ""The quiet part"", ""Available from"": ""01/05/2025"", ""Floor"": ""3. podlaží"", ""Building construction"": ""Prefab concrete"", ""Water"": ""From a public source"", ""Price per unit"": ""CZK 294/ m2"", """": ""MHD 2 minutes on foot""}",True,880500.0,CZK 294/ m2,3. podlaží,Very good,The quiet part,01/05/2025,73m²,3+1,G - Extremely uneconomical,,,,
"{""Listing ID"": ""903066"", ""Layout"": ""2+kk"", ""Condition"": ""Good"", ""EPC"": ""C - Economical"", ""Price per unit"": ""€12/ m2"", ""Užitná plocha"": ""72m²"", ""Available from"": ""04/06/2025"", ""Floor"": ""3. podlaží z 4"", ""Age"": ""Over 50 years"", """": ""MHD 0 minutes on foot""}",True,903066.0,€12/ m2,3. podlaží z 4,Good,,04/06/2025,72m²,2+kk,C - Economical,,,Over 50 years,
"{""Listing ID"": ""903071"", ""Layout"": ""2 bedroom"", ""Floor"": ""2. podlaží z 4"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""61m²"", ""Condition"": ""After reconstruction"", ""EPC"": ""C - Economical"", ""Price per unit"": ""€6/ m2"", """": ""MHD 3 minutes on foot""}",True,903071.0,€6/ m2,2. podlaží z 4,After reconstruction,,,61m²,2 bedroom,C - Economical,,,Over 50 years,
"{""Listing ID"": ""903072"", ""Layout"": ""4+1"", ""Condition"": ""Very good"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""134m²"", ""Available from"": ""03/06/2025"", ""Floor"": ""3. podlaží z 3"", ""Price per unit"": ""€20/ m2"", """": ""Garage""}",True,903072.0,€20/ m2,3. podlaží z 3,Very good,,03/06/2025,134m²,4+1,,,,Over 50 years,
"{""Listing ID"": ""903080"", ""Plot space"": ""1,437m²"", ""EPC"": ""C - Economical"", ""Total floors"": ""1"", ""Užitná plocha"": ""296m²"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€1,922/ m2"", """": ""MHD 5 minutes on foot""}",True,903080.0,"€1,922/ m2",,After reconstruction,,,296m²,,C - Economical,"1,437m²",,Over 50 years,1.0
"{""Listing ID"": ""903081"", ""Available from"": ""01/06/2025"", ""Floor"": ""3. podlaží"", ""Plocha kanceláře"": ""307m²"", ""Condition"": ""After reconstruction"", ""Price per unit"": ""€20/ m2"", """": ""MHD 1 minute on foot""}",True,903081.0,€20/ m2,3. podlaží,After reconstruction,,01/06/2025,,,,,,,
"{""Listing ID"": ""903082"", ""Layout"": ""4+1"", ""Condition"": ""After reconstruction"", ""EPC"": ""D - Less economical"", ""Price per unit"": ""€7,167/ m2"", ""Užitná plocha"": ""150m²"", ""Available from"": ""01/09/2025"", ""Floor"": ""1. podlaží"", ""Age"": ""Over 50 years"", """": ""Lift""}",True,903082.0,"€7,167/ m2",1. podlaží,After reconstruction,,01/09/2025,150m²,4+1,D - Less economical,,,Over 50 years,
"{""Listing ID"": ""903085"", ""Plot space"": ""550m²"", ""EPC"": ""G - Extremely uneconomical"", ""Total floors"": ""3"", ""Užitná plocha"": ""230m²"", ""Condition"": ""Before reconstruction"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€5,565/ m2"", """": ""MHD 6 minutes on foot""}",True,903085.0,"€5,565/ m2",,Before reconstruction,,,230m²,,G - Extremely uneconomical,550m²,,Over 50 years,3.0
"{""Listing ID"": ""903086"", ""Layout"": ""6+1"", ""Condition"": ""Very good"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€5,176/ m2"", ""Užitná plocha"": ""170m²"", ""Plot space"": ""900m²"", ""EPC"": ""G - Extremely uneconomical"", ""Total floors"": ""2"", """": ""MHD 4 minutes on foot""}",True,903086.0,"€5,176/ m2",,Very good,,,170m²,6+1,G - Extremely uneconomical,900m²,,Over 50 years,2.0
"{""Listing ID"": ""903087"", ""Available from"": ""03/06/2025"", ""Floor"": ""5. podlaží z 6"", ""Price per unit"": ""€10/ m2"", ""Plocha kanceláře"": ""328m²"", ""Condition"": ""Very good"", ""Age"": ""Over 50 years"", """": ""Lift""}",True,903087.0,€10/ m2,5. podlaží z 6,Very good,,03/06/2025,,,,,,Over 50 years,
"{""Listing ID"": ""903091"", ""Price per unit"": ""€382/ m2"", ""Plot space"": ""1,269m²"", """": ""MHD 1 minute on foot""}",True,903091.0,€382/ m2,,,,,,,,"1,269m²",,,
"{""Listing ID"": ""903092"", ""Layout"": ""4+1"", ""Floor"": ""1. podlaží z 4"", ""Price per unit"": ""€3,250/ m2"", ""Užitná plocha"": ""100m²"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", """": ""Parking""}",True,903092.0,"€3,250/ m2",1. podlaží z 4,Good,,,100m²,4+1,,,,Over 50 years,
"{""Listing ID"": ""903094"", ""Layout"": ""3+1"", ""Condition"": ""New-build"", ""EPC"": ""A - Extremely economical"", ""Price per unit"": ""€10/ m2"", ""Užitná plocha"": ""78m²"", ""Available from"": ""01/05/2025"", ""Floor"": ""1. podlaží z 3"", ""Age"": ""Over 50 years"", """": ""Parking""}",True,903094.0,€10/ m2,1. podlaží z 3,New-build,,01/05/2025,78m²,3+1,A - Extremely economical,,,Over 50 years,
"{""Listing ID"": ""903095"", ""Layout"": ""5+1"", ""Plot space"": ""1,530m²"", ""EPC"": ""F - Very uneconomical"", ""Total floors"": ""3"", ""Užitná plocha"": ""145m²"", ""Available from"": ""04/06/2025"", ""Condition"": ""Before reconstruction"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€1,855/ m2"", """": ""Garage""}",True,903095.0,"€1,855/ m2",,Before reconstruction,,04/06/2025,145m²,5+1,F - Very uneconomical,"1,530m²",,Over 50 years,3.0
"{""Listing ID"": ""903096"", ""Layout"": ""5+1"", ""Condition"": ""Very good"", ""Total floors"": ""2"", ""Užitná plocha"": ""145m²"", ""Plot space"": ""185m²"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€4,545/ m2"", """": ""Parking""}",True,903096.0,"€4,545/ m2",,Very good,,,145m²,5+1,,185m²,,Over 50 years,2.0
"{""Listing ID"": ""903097"", ""Layout"": ""2 bedroom"", ""Floor"": ""3. podlaží z 5"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""54m²"", ""Condition"": ""Very good"", ""EPC"": ""C - Economical"", ""Price per unit"": ""€11,574/ m2"", """": ""Garage""}",True,903097.0,"€11,574/ m2",3. podlaží z 5,Very good,,,54m²,2 bedroom,C - Economical,,,Over 50 years,
"{""Listing ID"": ""903101"", ""Plot space"": ""1,176m²"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""420m²"", ""EPC"": ""C - Economical"", ""Price per unit"": ""€1,893/ m2"", """": ""Parking""}",True,903101.0,"€1,893/ m2",,,,,420m²,,C - Economical,"1,176m²",,Over 50 years,
"{""Listing ID"": ""903104"", ""Layout"": ""3+1"", ""Floor"": ""5. podlaží z 6"", ""Price per unit"": ""€4,186/ m2"", ""Užitná plocha"": ""86m²"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", """": ""MHD 5 minutes on foot""}",True,903104.0,"€4,186/ m2",5. podlaží z 6,After reconstruction,,,86m²,3+1,,,,Over 50 years,
"{""Listing ID"": ""903106"", ""Layout"": ""6+1"", ""Plot space"": ""265m²"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€6,387/ m2"", ""Užitná plocha"": ""148m²"", ""Available from"": ""01/05/2026"", ""Condition"": ""New-build"", ""Total floors"": ""2"", """": ""Parking""}",True,903106.0,"€6,387/ m2",,New-build,,01/05/2026,148m²,6+1,,265m²,,Over 50 years,2.0
"{""Listing ID"": ""903107"", ""Layout"": ""3+1"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""81m²"", ""Available from"": ""04/06/2025"", ""EPC"": ""A - Extremely economical"", ""Price per unit"": ""€3,827/ m2"", """": ""Parking""}",True,903107.0,"€3,827/ m2",,Good,,04/06/2025,81m²,3+1,A - Extremely economical,,,Over 50 years,
"{""Listing ID"": ""903111"", ""Plot space"": ""550m²"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€1,144/ m2"", ""Užitná plocha"": ""305m²"", ""Condition"": ""Good"", ""Total floors"": ""4"", """": ""Parking""}",True,903111.0,"€1,144/ m2",,Good,,,305m²,,,550m²,,Over 50 years,4.0
"{""Listing ID"": ""903113"", ""Condition"": ""Good"", ""Available from"": ""03/06/2025"", ""Price per unit"": ""€∞/ m2"", """": ""MHD 3 minutes on foot""}",True,903113.0,€∞/ m2,,Good,,03/06/2025,,,,,,,
"{""Listing ID"": ""903115"", ""Layout"": ""5+1"", ""EPC"": ""C - Economical"", ""Total floors"": ""2"", ""Užitná plocha"": ""123m²"", ""Plot space"": ""245m²"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€2,602/ m2"", """": ""Parking""}",True,903115.0,"€2,602/ m2",,,,,123m²,5+1,C - Economical,245m²,,Over 50 years,2.0
"{""Listing ID"": ""903117"", ""Layout"": ""4+1"", ""Condition"": ""After reconstruction"", ""EPC"": ""B - Very economical"", ""Price per unit"": ""€29/ m2"", ""Užitná plocha"": ""113m²"", ""Available from"": ""01/08/2025"", ""Floor"": ""2. podlaží z 4"", ""Age"": ""Over 50 years"", """": ""Lift""}",True,903117.0,€29/ m2,2. podlaží z 4,After reconstruction,,01/08/2025,113m²,4+1,B - Very economical,,,Over 50 years,
"{""Listing ID"": ""903119"", ""Layout"": ""2 bedroom"", ""Condition"": ""Very good"", ""EPC"": ""A - Extremely economical"", ""Price per unit"": ""€13/ m2"", ""Užitná plocha"": ""60m²"", ""Available from"": ""01/08/2025"", ""Floor"": ""1. podlaží"", ""Age"": ""Over 50 years"", """": ""Parking""}",True,903119.0,€13/ m2,1. podlaží,Very good,,01/08/2025,60m²,2 bedroom,A - Extremely economical,,,Over 50 years,
"{""Listing ID"": ""903121"", ""Layout"": ""5+1"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€4,133/ m2"", ""Užitná plocha"": ""241m²"", ""Plot space"": ""899m²"", ""EPC"": ""E - Wasteful"", ""Total floors"": ""2"", """": ""MHD 3 minutes on foot""}",True,903121.0,"€4,133/ m2",,Good,,,241m²,5+1,E - Wasteful,899m²,,Over 50 years,2.0
"{""Listing ID"": ""903122"", ""Layout"": ""5+1"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€3,841/ m2"", ""Užitná plocha"": ""151m²"", ""Plot space"": ""386m²"", ""EPC"": ""F - Very uneconomical"", ""Total floors"": ""3"", """": ""Parking""}",True,903122.0,"€3,841/ m2",,After reconstruction,,,151m²,5+1,F - Very uneconomical,386m²,,Over 50 years,3.0
"{""Listing ID"": ""903123"", ""Layout"": ""2 bedroom"", ""Condition"": ""Good"", ""EPC"": ""F - Very uneconomical"", ""Price per unit"": ""€12/ m2"", ""Užitná plocha"": ""60m²"", ""Available from"": ""01/08/2024"", ""Floor"": ""1. podlaží z 2"", ""Age"": ""Over 50 years"", """": ""MHD 2 minutes on foot""}",True,903123.0,€12/ m2,1. podlaží z 2,Good,,01/08/2024,60m²,2 bedroom,F - Very uneconomical,,,Over 50 years,
"{""Listing ID"": ""903124"", ""Plot space"": ""1,814m²"", ""EPC"": ""A - Extremely economical"", ""Total floors"": ""3"", ""Užitná plocha"": ""700m²"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€2,271/ m2"", """": ""Parking""}",True,903124.0,"€2,271/ m2",,Good,,,700m²,,A - Extremely economical,"1,814m²",,Over 50 years,3.0
"{""Listing ID"": ""903125"", ""Layout"": ""2 bedroom"", ""Floor"": ""5. podlaží z 5"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""94m²"", ""Condition"": ""Very good"", ""EPC"": ""B - Very economical"", ""Price per unit"": ""€16/ m2"", """": ""MHD 2 minutes on foot""}",True,903125.0,€16/ m2,5. podlaží z 5,Very good,,,94m²,2 bedroom,B - Very economical,,,Over 50 years,
"{""Listing ID"": ""903126"", ""Layout"": ""2+kk"", ""Condition"": ""After reconstruction"", ""EPC"": ""A - Extremely economical"", ""Price per unit"": ""€16/ m2"", ""Užitná plocha"": ""50m²"", ""Available from"": ""01/07/2025"", ""Floor"": ""3. podlaží z 3"", ""Age"": ""Over 50 years"", """": ""Cellar""}",True,903126.0,€16/ m2,3. podlaží z 3,After reconstruction,,01/07/2025,50m²,2+kk,A - Extremely economical,,,Over 50 years,
"{""Listing ID"": ""903127"", ""Plot space"": ""1,000,000m²"", ""Available from"": ""03/06/2025"", ""Price per unit"": ""€5/ m2"", """": ""MHD 2 minutes on foot""}",True,903127.0,€5/ m2,,,,03/06/2025,,,,"1,000,000m²",,,
"{""Listing ID"": ""903128"", ""Layout"": ""3+kk"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""80m²"", ""Available from"": ""15/05/2025"", ""Floor"": ""3. podlaží z 3"", ""Price per unit"": ""€7/ m2"", """": ""Parking""}",True,903128.0,€7/ m2,3. podlaží z 3,After reconstruction,,15/05/2025,80m²,3+kk,,,,Over 50 years,
"{""Listing ID"": ""903135"", ""Plot space"": ""635m²"", ""EPC"": ""A - Extremely economical"", ""Total floors"": ""2"", ""Užitná plocha"": ""200m²"", ""Condition"": ""Very good"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€4,750/ m2"", """": ""Garage""}",True,903135.0,"€4,750/ m2",,Very good,,,200m²,,A - Extremely economical,635m²,,Over 50 years,2.0
"{""Listing ID"": ""903138"", ""Layout"": ""7+1"", ""Plot space"": ""314m²"", ""EPC"": ""A - Extremely economical"", ""Total floors"": ""3"", ""Užitná plocha"": ""187m²"", ""Available from"": ""01/09/2025"", ""Condition"": ""Very good"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€5,342/ m2"", """": ""Garage""}",True,903138.0,"€5,342/ m2",,Very good,,01/09/2025,187m²,7+1,A - Extremely economical,314m²,,Over 50 years,3.0
"{""Listing ID"": ""903139"", ""Layout"": ""4+1"", ""Condition"": ""Very good"", ""EPC"": ""C - Economical"", ""Price per unit"": ""€18/ m2"", ""Užitná plocha"": ""71m²"", ""Available from"": ""01/08/2025"", ""Floor"": ""2. podlaží z 2"", ""Age"": ""Over 50 years"", """": ""Parking""}",True,903139.0,€18/ m2,2. podlaží z 2,Very good,,01/08/2025,71m²,4+1,C - Economical,,,Over 50 years,
"{""Listing ID"": ""903140"", ""Layout"": ""7+1"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€3,556/ m2"", ""Užitná plocha"": ""239m²"", ""Plot space"": ""4,138m²"", ""EPC"": ""D - Less economical"", ""Total floors"": ""2"", """": ""Garage""}",True,903140.0,"€3,556/ m2",,After reconstruction,,,239m²,7+1,D - Less economical,"4,138m²",,Over 50 years,2.0
"{""Listing ID"": ""903143"", ""Layout"": ""3+1"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""92m²"", ""Available from"": ""01/06/2025"", ""Floor"": ""1. podlaží z 2"", ""Price per unit"": ""€14/ m2"", """": ""MHD 1 minute on foot""}",True,903143.0,€14/ m2,1. podlaží z 2,Good,,01/06/2025,92m²,3+1,,,,Over 50 years,
"{""Listing ID"": ""903145"", ""Layout"": ""4+1"", ""Condition"": ""Good"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""108m²"", ""Available from"": ""01/06/2025"", ""Floor"": ""1. podlaží z 2"", ""Price per unit"": ""€7/ m2"", """": ""MHD 6 minutes on foot""}",True,903145.0,€7/ m2,1. podlaží z 2,Good,,01/06/2025,108m²,4+1,,,,Over 50 years,
"{""Listing ID"": ""903147"", ""Layout"": ""3+1"", ""Condition"": ""Very good"", ""EPC"": ""A - Extremely economical"", ""Price per unit"": ""€18/ m2"", ""Užitná plocha"": ""76m²"", ""Available from"": ""01/08/2025"", ""Floor"": ""2. podlaží z 3"", ""Age"": ""Over 50 years"", """": ""Parking""}",True,903147.0,€18/ m2,2. podlaží z 3,Very good,,01/08/2025,76m²,3+1,A - Extremely economical,,,Over 50 years,
"{""Listing ID"": ""903149"", ""Age"": ""Over 50 years"", ""Plocha kanceláře"": ""18m²"", ""Price per unit"": ""€15/ m2"", """": ""MHD 2 minutes on foot""}",True,903149.0,€15/ m2,,,,,,,,,,Over 50 years,
"{""Listing ID"": ""903152"", ""Layout"": ""2 bedroom"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""56m²"", ""Available from"": ""01/05/2025"", ""Floor"": ""2. podlaží z 3"", ""Price per unit"": ""€8/ m2"", """": ""MHD 4 minutes on foot""}",True,903152.0,€8/ m2,2. podlaží z 3,After reconstruction,,01/05/2025,56m²,2 bedroom,,,,Over 50 years,
"{""Listing ID"": ""903153"", ""Layout"": ""6+1"", ""Plot space"": ""720m²"", ""EPC"": ""E - Wasteful"", ""Total floors"": ""1"", ""Užitná plocha"": ""140m²"", ""Available from"": ""03/06/2025"", ""Condition"": ""After reconstruction"", ""Age"": ""Over 50 years"", ""Price per unit"": ""€11/ m2"", """": ""MHD 5 minutes on foot""}",True,903153.0,€11/ m2,,After reconstruction,,03/06/2025,140m²,6+1,E - Wasteful,720m²,,Over 50 years,1.0
"{""Listing ID"": ""903154"", ""Layout"": ""2 bedroom"", ""Floor"": ""2. podlaží z 2"", ""Age"": ""Over 50 years"", ""Užitná plocha"": ""70m²"", ""Condition"": ""Good"", ""EPC"": ""F - Very uneconomical"", ""Price per unit"": ""€16/ m2"", """": ""MHD 4 minutes on foot""}",True,903154.0,€16/ m2,2. podlaží z 2,Good,,,70m²,2 bedroom,F - Very uneconomical,,,Over 50 years,
"{""Listing ID"": ""902199"", ""Layout"": ""2+kk"", ""Fully furnished"": ""Partly"", ""Condition"": ""Very good"", ""Ownership"": ""Cooperative"", ""EPC"": ""G - Extremely uneconomical"", ""Price per unit"": ""CZK 61,403/ m2"", ""Užitná plocha"": ""57m²"", ""Location"": ""The quiet part"", ""Available from"": ""04/05/2025"", ""Floor"": ""4. podlaží z 6"", ""Building construction"": ""Prefab concrete"", ""Reconstruction"": ""Complete"", """": ""Lift""}",True,902199.0,"CZK 61,403/ m2",4. podlaží z 6,Very good,The quiet part,04/05/2025,57m²,2+kk,G - Extremely uneconomical,,,,
"{""Listing ID"": ""728579"", ""Layout"": ""Studio"", ""Fully furnished"": ""Partly"", ""Condition"": ""Very good"", ""Ownership"": ""Personal"", ""EPC"": ""G - Extremely uneconomical"", ""Heating"": ""Distance"", ""Designe"": ""Standard"", ""Užitná plocha"": ""40m²"", ""Location"": ""The quiet part"", ""Available from"": ""10/05/2025"", ""Floor"": ""1. podlaží z 4"", ""Building construction"": ""Mixed"", ""Age"": ""10 to 30 years"", ""Reconstruction"": ""Interior"", ""Price per unit"": ""CZK 363/ m2"", """": ""Lift""}",True,728579.0,CZK 363/ m2,1. podlaží z 4,Very good,The quiet part,10/05/2025,40m²,Studio,G - Extremely uneconomical,,,10 to 30 years,
"{""Listing ID"": ""902401"", ""Plot space"": ""14,772m²"", ""Plot type"": ""Meadow"", ""Location"": ""Solitude"", ""Condition"": ""Very good"", ""Price per unit"": ""CZK 135/ m2"", """": ""MHD 6 minutes on foot""}",True,902401.0,CZK 135/ m2,,Very good,Solitude,,,,,"14,772m²",Meadow,,
"{""Listing ID"": ""902403"", ""Layout"": ""2 bedroom"", ""Fully furnished"": ""Fully furnished"", ""Condition"": ""Very good"", ""Building construction"": ""Brick"", ""Užitná plocha"": ""50m²"", ""Location"": ""The quiet part"", ""Available from"": ""05/05/2025"", ""Floor"": ""2. podlaží z 4"", ""Price per unit"": ""CZK 260/ m2""}",True,902403.0,CZK 260/ m2,2. podlaží z 4,Very good,The quiet part,05/05/2025,50m²,2 bedroom,,,,,
"{""Listing ID"": ""902405"", ""Plot space"": ""25,739m²"", ""Plot type"": ""Meadow"", ""Location"": ""Solitude"", ""Condition"": ""Very good"", ""Price per unit"": ""CZK 35/ m2"", """": ""MHD 2 minutes by car""}",True,902405.0,CZK 35/ m2,,Very good,Solitude,,,,,"25,739m²",Meadow,,
"{""Listing ID"": ""902408"", ""Plot space"": ""5,920m²"", ""Plot type"": ""Field"", ""Location"": ""Solitude"", ""Condition"": ""Very good"", ""Price per unit"": ""CZK 42/ m2"", """": ""MHD 5 minutes by car""}",True,902408.0,CZK 42/ m2,,Very good,Solitude,,,,,"5,920m²",Field,,
"{""Listing ID"": ""630760"", ""Layout"": ""1 bedroom"", ""Fully furnished"": ""Partly"", ""Condition"": ""New-build"", ""Ownership"": ""Personal"", ""EPC"": ""B - Very economical"", ""Heating"": ""Distance"", ""Užitná plocha"": ""50m²"", ""Location"": ""The quiet part"", ""Available from"": ""01/06/2025"", ""Floor"": ""2. podlaží"", ""Building construction"": ""Brick"", ""Age"": ""10 to 30 years"", ""Price per unit"": ""CZK 390/ m2"", """": ""MHD 0 minutes on foot""}",True,630760.0,CZK 390/ m2,2. podlaží,New-build,The quiet part,01/06/2025,50m²,1 bedroom,B - Very economical,,,10 to 30 years,
"{""Listing ID"": ""807254"", ""Layout"": ""1 bedroom"", ""Fully furnished"": ""Partly"", ""Condition"": ""Very good"", ""Building construction"": ""Prefab concrete"", ""Price per unit"": ""CZK 200/ m2"", ""Užitná plocha"": ""37m²"", ""Location"": ""The quiet part"", ""Available from"": ""15/06/2025"", ""Floor"": ""11. podlaží z 12"", ""EPC"": ""B - Very economical"", """": ""Lift""}",True,807254.0,CZK 200/ m2,11. podlaží z 12,Very good,The quiet part,15/06/2025,37m²,1 bedroom,B - Very economical,,,,
"{""Listing ID"": ""671817"", ""Layout"": ""2+kk"", ""Fully furnished"": ""Fully furnished"", ""Condition"": ""Very good"", ""Ownership"": ""Personal"", ""EPC"": ""G - Extremely uneconomical"", ""Heating"": ""Central"", ""Designe"": ""Standard"", ""Užitná plocha"": ""50m²"", ""Location"": ""The quiet part"", ""Available from"": ""01/06/2025"", ""Floor"": ""3. podlaží"", ""Building construction"": ""Brick"", ""Age"": ""10 to 30 years"", ""Reconstruction"": ""Complete"", ""Price per unit"": ""CZK 360/ m2"", """": ""Lift""}",True,671817.0,CZK 360/ m2,3. podlaží,Very good,The quiet part,01/06/2025,50m²,2+kk,G - Extremely uneconomical,,,10 to 30 years,
"{""Listing ID"": ""902214"", ""Poloha nemovitosti"": ""Serial"", ""Fully furnished"": ""Partly"", ""Condition"": ""Very good"", ""EPC"": ""C - Economical"", ""Plocha garáže"": ""18m²"", ""Location"": ""Residences"", ""Available from"": ""04/05/2025"", ""Building construction"": ""Brick"", ""Price per unit"": ""CZK 200/ m2""}",True,902214.0,CZK 200/ m2,,Very good,Residences,04/05/2025,,,C - Economical,,,,
"{""Listing ID"": ""886607"", ""Layout"": ""2+kk"", ""Fully furnished"": ""Partly"", ""Condition"": ""Very good"", ""Ownership"": ""Personal"", ""EPC"": ""G - Extremely uneconomical"", ""Užitná plocha"": ""47m²"", ""Location"": ""The quiet part"", ""Available from"": ""31/07/2025"", ""Floor"": ""1. podlaží z 3"", ""Building construction"": ""Brick"", ""Price per unit"": ""CZK 148,085/ m2"", """": ""Basement: 2 m²""}",True,886607.0,"CZK 148,085/ m2",1. podlaží z 3,Very good,The quiet part,31/07/2025,47m²,2+kk,G - Extremely uneconomical,,,,
"{""Listing ID"": ""902414"", ""Plot space"": ""1,587m²"", ""Plot type"": ""Meadow"", ""Location"": ""Solitude"", ""Condition"": ""Very good"", ""Price per unit"": ""CZK 22/ m2"", """": ""MHD 9 minutes on foot""}",True,902414.0,CZK 22/ m2,,Very good,Solitude,,,,,"1,587m²",Meadow,,
"{""Listing ID"": ""867532"", ""Layout"": ""3+1"", ""Fully furnished"": ""Unfurnished"", ""Floor"": ""2. podlaží z 3"", ""Building construction"": ""Brick"", ""Reconstruction"": ""Complete"", ""Užitná plocha"": ""95m²"", ""Location"": ""The quiet part"", ""Available from"": ""14/10/2024"", ""Ownership"": ""Personal"", ""EPC"": ""G - Extremely uneconomical"", ""Price per unit"": ""CZK 59,895/ m2"", """": ""MHD 8 minutes on foot""}",True,867532.0,"CZK 59,895/ m2",2. podlaží z 3,,The quiet part,14/10/2024,95m²,3+1,G - Extremely uneconomical,,,,
"{""Listing ID"": ""902417"", ""Plot space"": ""1,541m²"", ""Plot type"": ""Garden"", ""Location"": ""Polosamota"", ""Condition"": ""Very good"", ""Price per unit"": ""CZK 42/ m2"", """": ""MHD 1 minute on foot""}",True,902417.0,CZK 42/ m2,,Very good,Polosamota,,,,,"1,541m²",Garden,,
"{""Listing ID"": ""902419"", ""Plot space"": ""2,282m²"", ""Plot type"": ""Field"", ""Location"": ""Polosamota"", ""Condition"": ""Very good"", ""Price per unit"": ""CZK 55/ m2"", """": ""MHD 2 minutes on foot""}",True,902419.0,CZK 55/ m2,,Very good,Polosamota,,,,,"2,282m²",Field,,
